id,sku,name,kind,secondaryKinds,length,minLength,maxLength,radius,radius2,angle,diverging,trackCenters,color,bridgeStyle,isTerminal,width,depth,buildingStyle,shapeType,shapeWidth,shapeHeight,shapeSide,shapeDiameter,notes
shape-rectangle,SHAPE-RECT,Custom Rectangle,shape,,,,,,,,,,#94a3b8,,,,,,rectangle,100,60,,,Customizable top-down rectangle; edit width and height when selected
shape-triangle,SHAPE-TRI,Custom Triangle,shape,,,,,,,,,,#94a3b8,,,,,,triangle,,,80,,Customizable equilateral triangle; edit side length when selected
shape-circle,SHAPE-CIR,Custom Circle,shape,,,,,,,,,,#94a3b8,,,,,,circle,,,,75,Customizable top-down circle; edit diameter when selected
station-23-330,23-330,Local Station Building / Platform,building,,,,,,,,,,#9bd59a,,,124,72,station,,,,,,Top-down building footprint; no track connection nodes by default
platform-23-170-end-left,23-170A,Island Platform 23-170 Left Curved End,building,,,,,,,,,,#cbd5e1,,,200,42,platform,,,,,,KATO 23-170 modular island platform curved end; platform nodes connect only to other platform nodes
platform-23-170-center-a,23-170B,Island Platform 23-170 Center A,building,,,,,,,,,,#cbd5e1,,,248,42,platform,,,,,,KATO 23-170 modular island platform center section; platform nodes connect only to other platform nodes
platform-23-170-center-b,23-170C,Island Platform 23-170 Center B,building,,,,,,,,,,#cbd5e1,,,248,42,platform,,,,,,KATO 23-170 modular island platform center section; platform nodes connect only to other platform nodes
platform-23-170-end-right,23-170D,Island Platform 23-170 Right Curved End,building,,,,,,,,,,#cbd5e1,,,200,42,platform,,,,,,KATO 23-170 modular island platform curved end; platform nodes connect only to other platform nodes
s248,20-000,S248 Straight,straight,,248,,,,,,,,,,,,,,,,,,,
s186,20-010,S186 Straight,straight,,186,,,,,,,,,,,,,,,,,,,
s124,20-020,S124 Straight,straight,,124,,,,,,,,,,,,,,,,,,,
s64,20-030,S64 Straight,straight,,64,,,,,,,,,,,,,,,,,,,
s62,20-040,S62 Straight,straight,,62,,,,,,,,,,,,,,,,,,,
s62f,20-041,S62 Feeder,straight,,62,,,,,,,,,,,,,,,,,,,
expansion-78-108,20-050,Expansion Track 78–108mm,straight,,108,78,108,,,,,,,,,,,,,,,,,Adjustable straight expansion track; drag end handle to resize between 78mm and 108mm
bumper-20-046,20-046,Bumper Type A,straight,,95,,,,,,,,,,true,,,,,,,,,Long bumper with concrete stop.
bumper-20-047,20-047,Bumper Type B,straight,,95,,,,,,,,,,true,,,,,,,,,Long bumper with rock filled wood stop.
bumper-20-048,20-048,Bumper Type C,straight,,50,,,,,,,,,,true,,,,,,,,,Short bumper with posts stop.
bumper-20-060,20-060,Short Bumpber D,straight,,35,,,,,,,,,,true,,,,,,,,,Compact bumper.
bumper-20-063,20-063,Illuminated Bumper Block,straight,,66,,,,,,,,,,true,,,,,,,,,Illuminated Bumpber with concrete stop.
bumper-20-064,20-064,Illuminated Bumper Posts,straight,,66,,,,,,,,,,true,,,,,,,,,Illuminated Bumpber with posts stop.
s29,20-091,S29 Straight,straight,,29,,,,,,,,,,,,,,,,,,,
s45.5,20-091,S45.5 Straight,straight,,45.5,,,,,,,,,,,,,,,,,,,
s33,20-092,S33 Straight,straight,,33,,,,,,,,,,,,,,,,,,,
